id,title,year,image_url,description_gal,description_esp,description_en,order
obra18,estudi p,2024,images/estudi_p.webp,Descrición da obra estudi p en galego. Estudo sobre a letra p.,Descripción de la obra estudi p en español. Estudio sobre la letra p.,Work description study p in English. Study about the letter p.,18
obra19,Pel de mimbre sobre pel,2023,images/v.webp,Descrición da obra Pel de mimbre sobre pel en galego. Sobre a textura e a materia.,Descripción de la obra Pel de mimbre sobre pel en español. Sobre la textura y la materia.,Work description Wicker skin over skin in English. About texture and matter.,19
obra20,enfrontar o corpo,2023,images/enfrontar_o_corpo.webp,Descrición da obra enfrontar o corpo en galego. Performance sobre o corpo.,Descripción de la obra enfrontar o corpo en español. Performance sobre el cuerpo.,Work description facing the body in English. Performance about the body.,20
obra21,modos de non ver,2022,images/modos_de_non_ver.webp,Descrición da obra modos de non ver en galego. Sobre a cegueira e a percepción.,Descripción de la obra modos de non ver en español. Sobre la ceguera y la percepción.,Work description ways of not seeing in English. About blindness and perception.,21
obra22,a,2022,images/pes.webp,Descrición da obra a en galego. Obra conceptual sobre a letra a.,Descripción de la obra a en español. Obra conceptual sobre la letra a.,Work description a in English. Conceptual work about the letter a.,22
obra23,non ver,2023,images/non_ver.webp,Descrición da obra non ver en galego. Sobre a cegueira voluntaria.,Descripción de la obra non ver en español. Sobre la ceguera voluntaria.,Work description not seeing in English. About voluntary blindness.,23
obra24,f,2023,images/f.webp,Descrición da obra f en galego. Obra conceptual sobre a letra f.,Descripción de la obra f en español. Obra conceptual sobre la letra f.,Work description f in English. Conceptual work about the letter f.,24
obra25,Lorem ipsum,2023,images/lorem_ipsum.webp,Descrición da obra Lorem ipsum en galego. Sobre o texto e o significado.,Descripción de la obra Lorem ipsum en español. Sobre el texto y el significado.,Work description Lorem ipsum in English. About text and meaning.,25
obra26,ciclo de accions / Dialeg Obert e PAErsche,2023,images/clo_de_accions_c_dialeg_oebert_e_paersche.webp,Descrición da obra ciclo de accions en galego. Colaboración con Dialeg Obert e PAErsche.,Descripción de la obra ciclo de accions en español. Colaboración con Dialeg Obert e PAErsche.,Work description cycle of actions in English. Collaboration with Dialeg Obert e PAErsche.,26
obra27,xersei de catro brazos e duas cabezas c/Marta Fialho,2021,images/ersei_de_4_brazos_e_2_cabezas_c_marta_fialho.webp,Descrición da obra xersei de catro brazos e duas cabezas en galego. Colaboración con Marta Fialho.,Descripción de la obra xersei de catro brazos e duas cabezas en español. Colaboración con Marta Fialho.,Work description four-armed and two-headed character in English. Collaboration with Marta Fialho.,27
obra28,Line Up Action Coimbra,2023,images/coimbra_line_up_action.webp,Descrición da obra Line Up Action Coimbra en galego. Performance en Coimbra.,Descripción de la obra Line Up Action Coimbra en español. Performance en Coimbra.,Work description Line Up Action Coimbra in English. Performance in Coimbra.,28
obra29,m,2022,images/m.webp,Descrición da obra m en galego. Obra conceptual sobre a letra m.,Descripción de la obra m en español. Obra conceptual sobre la letra m.,Work description m in English. Conceptual work about the letter m.,29
obra30,mascara de xeo,2022,images/mascara_de_xeo.webp,Descrición da obra mascara de xeo en galego. Sobre a máscara e a identidade.,Descripción de la obra mascara de xeo en español. Sobre la máscara y la identidad.,Work description ice mask in English. About mask and identity.,30
obra31,___,2022,images/___.webp,Descrición da obra ___ en galego. Obra conceptual sobre o espazo baleiro.,Descripción de la obra ___ en español. Obra conceptual sobre el espacio vacío.,Work description ___ in English. Conceptual work about empty space.,31
obra32,,2022,images/placeholder.webp,Descrición da obra 32 en galego. Obra en proceso.,Descripción de la obra 32 en español. Obra en proceso.,Work description 32 in English. Work in progress.,32
obra33,contacto c/ Taro,2023,images/con_tacto.webp,Descrición da obra contacto c/ Taro en galego. Colaboración con Taro sobre o tacto.,Descripción de la obra contacto c/ Taro en español. Colaboración con Taro sobre el tacto.,Work description contacto c/ Taro in English. Collaboration with Taro about touch.,33
obra34,unidade de medida,2023,images/unidade_de_medida.webp,Descrición da obra unidade de medida en galego. Sobre a medición e o espazo.,Descripción de la obra unidade de medida en español. Sobre la medición y el espacio.,Work description unit of measurement in English. About measurement and space.,34
obra35,Pel de mimbre sobre pel,2022,images/pel_de_mimbre_sobre_pel.webp,Descrición da obra Pel de mimbre sobre pel en galego. Sobre a textura e a materia.,Descripción de la obra Pel de mimbre sobre pel en español. Sobre la textura y la materia.,Work description Wicker skin over skin in English. About texture and matter.,35
obra36,com posturas,2017,images/com_posturas.webp,Descrición da obra com posturas en galego. Serie sobre as posturas corporais.,Descripción de la obra com posturas en español. Serie sobre las posturas corporales.,Work description com postures in English. Series about body postures.,36
obra37,.,2015,images/placeholder.webp,Descrición da obra 37 en galego. Obra en proceso.,Descripción de la obra 37 en español. Obra en proceso.,Work description 37 in English. Work in progress.,37
obra38,1/2 baleiro,2020,images/medio_baleiro.webp,Descrición da obra 1/2 baleiro en galego. Sobre o espazo e o baleiro.,Descripción de la obra 1/2 baleiro en español. Sobre el espacio y el vacío.,Work description 1/2 empty in English. About space and emptiness.,38
obra39,a,2022,images/a.webp,Descrición da obra a en galego. Obra conceptual sobre a letra a.,Descripción de la obra a en español. Obra conceptual sobre la letra a.,Work description a in English. Conceptual work about the letter a.,39 
